rank;residual_edges;largest_res_eigval;ano_edges;largest_ano_eigval
9;3496;38.7715584961;686;25.113797329
10;3179;37.6181419506;686;25.113797329
11;2872;36.387115491;678;24.98522537
12;2594;35.1548752294;674;24.8393565336
13;2351;33.8604424787;638;24.1814797378
14;2069;32.2874624542;632;23.9797953143
15;1804;30.4752808969;605;23.3309982824
16;1554;28.6846348907;551;22.1649694388
17;1330;27.0187877333;550;22.1394583179
18;1198;25.6376991309;502;20.6831114228
19;1040;24.026917697;457;19.395064592
20;885;22.3429454805;413;18.2895035103
rank;residual_edges;largest_res_eigval;ano_edges;largest_ano_eigval
0;16203;65.2830160245;905;28.8769085797
1;11814;58.9934493416;895;28.7036187022
2;9758;55.6439051362;885;28.5292858061
3;8091;51.5776512376;885;28.5292858061
4;6905;48.9115040028;856;28.0333284131
5;5929;46.4718320638;846;27.8548371288
6;5169;44.4532089489;827;27.5229788203
7;4543;42.7533231812;808;27.2015038348
8;3955;40.4009241106;782;26.7724343683
9;3529;38.9485714681;755;26.3104237572
10;3055;36.8484838388;738;25.8804782493
11;2347;32.4561842476;662;24.4374054178
12;2057;30.9403817748;639;23.7223149147
13;1760;29.0812878507;551;21.8467246326
14;1307;25.7361808056;327;16.8108754054
15;1137;24.5866281678;308;16.3265459488
16;971;23.1267407867;298;16.1140313692
17;820;21.7003822306;275;15.5551872083
18;675;20.11109474;249;14.8463379975
19;540;18.4905311079;222;14.0368065021
20;432;16.9160522518;192;13.1402292897
